Date,"Eleanor Schonell Bridge, St Lucia Cyclist","Eleanor Schonell Bridge, St Lucia Pedestrian","Jack Pesch Bridge, Indooroopilly Pedestrian","Jack Pesch Bridge, Indooroopilly Cyclist"
"Sat, 14 05 22",176.8,486,151,65
"Sun, 15 05 22",488.8,975,468,311
"Mon, 16 05 22",1299.35,1544,479,436
"Tue, 17 05 22",1392.3,1811,562,433
"Wed, 18 05 22",1411.15,1747,683,633
"Thu, 19 05 22",1327.95,1689,746,503
"Fri, 20 05 22",1196.65,1297,739,572
"Sat, 21 05 22",70.2,375,90,24
"Sun, 22 05 22",167.7,751,284,89
"Mon, 23 05 22",926.9,1496,333,281
"Tue, 24 05 22",1232.4,1895,492,311
"Wed, 25 05 22",1320.15,1685,706,575
"Thu, 26 05 22",1315.6,1978,769,460
"Fri, 27 05 22",1266.2,1623,843,583
"Sat, 28 05 22",991.25,1083,750,746
"Sun, 29 05 22",980.85,1080,1198,853
"Mon, 30 05 22",1271.4,1487,491,429
"Tue, 31 05 22",1222,1635,495,319
"Wed, 01 06 22",1263.6,1548,664,476
"Thu, 02 06 22",1305.85,1934,779,501
"Fri, 03 06 22",1235.65,1367,651,598
"Sat, 04 06 22",784.55,1099,543,496
"Sun, 05 06 22",1040,1348,849,829
"Mon, 06 06 22",1041.3,1354,333,307
"Tue, 07 06 22",1262.95,1465,637,509
"Wed, 08 06 22",1324.7,1480,635,496
"Thu, 09 06 22",1171.3,1780,610,393
"Fri, 10 06 22",983.45,1409,578,514
"Sat, 11 06 22",716.3,1236,584,470
"Sun, 12 06 22",741,1107,605,498
"Mon, 13 06 22",1105.65,1619,523,356
"Tue, 14 06 22",1255.15,1604,589,504
"Wed, 15 06 22",1267.5,1536,613,589
"Thu, 16 06 22",1278.55,1851,655,513
"Fri, 17 06 22",1101.75,1367,686,529
"Sat, 18 06 22",726.05,1124,648,587
"Sun, 19 06 22",832.65,1156,712,673
"Mon, 20 06 22",1145.3,1305,496,421
"Tue, 21 06 22",1256.45,1279,655,522
"Wed, 22 06 22",1119.3,1228,677,510
"Thu, 23 06 22",1131,1448,685,501
"Fri, 24 06 22",947.05,1354,618,577
"Sat, 25 06 22",767,808,708,574
"Sun, 26 06 22",815.75,949,712,630
"Mon, 27 06 22",937.95,1170,437,304
"Tue, 28 06 22",1047.15,1165,623,444
"Wed, 29 06 22",933.4,1021,566,421
"Thu, 30 06 22",882.7,1025,529,398
"Fri, 01 07 22",295.75,664,164,129
"Sat, 02 07 22",87.75,496,186,52
"Sun, 03 07 22",717.6,1042,711,538
"Mon, 04 07 22",692.25,936,257,271
"Tue, 05 07 22",313.3,779,93,54
"Wed, 06 07 22",584.35,1172,318,192
"Thu, 07 07 22",1020.5,1232,542,446
"Fri, 08 07 22",919.1,1080,654,479
"Sat, 09 07 22",673.4,825,664,570
"Sun, 10 07 22",739.05,1068,708,591
"Mon, 11 07 22",997.1,1283,445,355
"Tue, 12 07 22",937.3,1287,509,398
"Wed, 13 07 22",1091.35,1478,510,425
"Thu, 14 07 22",1133.6,1598,571,426
"Fri, 15 07 22",1086.15,1269,651,501
